"Notes","State","State Code","Year","Year Code","Race","Race Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","1999","1999","Black or African American","2054-5","Female","F",41,623475,6.6,4.7,8.9
,"Alabama","01","1999","1999","Black or African American","2054-5","Male","M",196,539198,36.4,31.3,41.4
,"Alabama","01","1999","1999","White","2106-3","Female","F",114,1640665,6.9,5.7,8.2
,"Alabama","01","1999","1999","White","2106-3","Male","M",432,1570643,27.5,24.9,30.1
,"Alabama","01","2000","2000","Black or African American","2054-5","Female","F",40,625980,6.4,4.6,8.7
,"Alabama","01","2000","2000","Black or African American","2054-5","Male","M",231,541643,42.6,37.1,48.1
,"Alabama","01","2000","2000","White","2106-3","Female","F",96,1643179,5.8,4.7,7.1
,"Alabama","01","2000","2000","White","2106-3","Male","M",395,1575039,25.1,22.6,27.6
,"Alabama","01","2001","2001","Black or African American","2054-5","Female","F",33,630901,5.2,3.6,7.3
,"Alabama","01","2001","2001","Black or African American","2054-5","Male","M",205,546578,37.5,32.4,42.6
,"Alabama","01","2001","2001","White","2106-3","Female","F",95,1645541,5.8,4.7,7.1
,"Alabama","01","2001","2001","White","2106-3","Male","M",403,1580087,25.5,23.0,28.0
,"Alabama","01","2002","2002","Black or African American","2054-5","Female","F",36,633374,5.7,4.0,7.9
,"Alabama","01","2002","2002","Black or African American","2054-5","Male","M",223,549217,40.6,35.3,45.9
,"Alabama","01","2002","2002","White","2106-3","Female","F",75,1646445,4.6,3.6,5.7
,"Alabama","01","2002","2002","White","2106-3","Male","M",386,1583267,24.4,21.9,26.8
,"Alabama","01","2003","2003","Black or African American","2054-5","Female","F",38,636876,6.0,4.2,8.2
,"Alabama","01","2003","2003","Black or African American","2054-5","Male","M",225,553307,40.7,35.4,46.0
,"Alabama","01","2003","2003","White","2106-3","Female","F",94,1650890,5.7,4.6,7.0
,"Alabama","01","2003","2003","White","2106-3","Male","M",406,1590946,25.5,23.0,28.0
,"Alabama","01","2004","2004","Black or African American","2054-5","Female","F",29,641873,4.5,3.0,6.5
,"Alabama","01","2004","2004","Black or African American","2054-5","Male","M",197,557319,35.3,30.4,40.3
,"Alabama","01","2004","2004","White","2106-3","Female","F",87,1657539,5.2,4.2,6.5
,"Alabama","01","2004","2004","White","2106-3","Male","M",358,1598272,22.4,20.1,24.7
,"Alabama","01","2005","2005","Black or African American","2054-5","Female","F",32,647595,4.9,3.4,7.0
,"Alabama","01","2005","2005","Black or African American","2054-5","Male","M",248,563308,44.0,38.5,49.5
,"Alabama","01","2005","2005","White","2106-3","Female","F",89,1668327,5.3,4.3,6.6
,"Alabama","01","2005","2005","White","2106-3","Male","M",361,1610721,22.4,20.1,24.7
,"Alabama","01","2006","2006","Black or African American","2054-5","Female","F",43,657654,6.5,4.7,8.8
,"Alabama","01","2006","2006","Black or African American","2054-5","Male","M",253,572880,44.2,38.7,49.6
,"Alabama","01","2006","2006","White","2106-3","Female","F",79,1685050,4.7,3.7,5.8
,"Alabama","01","2006","2006","White","2106-3","Male","M",401,1629110,24.6,22.2,27.0
,"Alabama","01","2007","2007","Black or African American","2054-5","Female","F",35,664831,5.3,3.7,7.3
,"Alabama","01","2007","2007","Black or African American","2054-5","Male","M",260,579036,44.9,39.4,50.4
,"Alabama","01","2007","2007","White","2106-3","Female","F",107,1697518,6.3,5.1,7.5
,"Alabama","01","2007","2007","White","2106-3","Male","M",404,1643115,24.6,22.2,27.0
,"Alabama","01","2008","2008","Black or African American","2054-5","Female","F",36,673102,5.3,3.7,7.4
,"Alabama","01","2008","2008","Black or African American","2054-5","Male","M",267,586075,45.6,40.1,51.0
