"Notes","State","State Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2018","2018","Female","F","Black or African American","2054-5",44,701054,6.3,4.6,8.4
,"Alabama","01","2018","2018","Female","F","White","2106-3",127,1721425,7.4,6.1,8.7
,"Alabama","01","2018","2018","Male","M","Black or African American","2054-5",361,609748,59.2,53.1,65.3
,"Alabama","01","2018","2018","Male","M","White","2106-3",517,1658530,31.2,28.5,33.9
,"Alabama","01","2019","2019","Female","F","Black or African American","2054-5",55,703474,7.8,5.9,10.2
,"Alabama","01","2019","2019","Female","F","White","2106-3",125,1726955,7.2,6.0,8.5
,"Alabama","01","2019","2019","Male","M","Black or African American","2054-5",366,609817,60.0,53.9,66.2
,"Alabama","01","2019","2019","Male","M","White","2106-3",515,1662441,31.0,28.3,33.7
,"Alabama","01","2020","2020","Female","F","Black or African American","2054-5",45,707418,6.4,4.6,8.5
,"Alabama","01","2020","2020","Female","F","White","2106-3",130,1731214,7.5,6.2,8.8
,"Alabama","01","2020","2020","Male","M","Black or African American","2054-5",445,612333,72.7,65.9,79.4
,"Alabama","01","2020","2020","Male","M","White","2106-3",502,1664839,30.2,27.5,32.8
,"Alabama","01","2021","2021","Female","F","Black or African American","2054-5",69,722424,9.6,7.4,12.1
,"Alabama","01","2021","2021","Female","F","White","2106-3",119,1759537,6.8,5.5,8.0
,"Alabama","01","2021","2021","Male","M","Black or African American","2054-5",546,630660,86.6,79.3,93.8
,"Alabama","01","2021","2021","Male","M","White","2106-3",548,1713205,32.0,29.3,34.7
,"Alabama","01","2022","2022","Female","F","Black or African American","2054-5",75,724112,10.4,8.1,13.0
,"Alabama","01","2022","2022","Female","F","White","2106-3",115,1769490,6.5,5.3,7.7
,"Alabama","01","2022","2022","Male","M","Black or African American","2054-5",495,634508,78.0,71.1,84.9
,"Alabama","01","2022","2022","Male","M","White","2106-3",579,1724699,33.6,30.8,36.3
,"Alabama","01","2023","2023","Female","F","Black or African American","2054-5",85,726984,11.7,9.3,14.5
,"Alabama","01","2023","2023","Female","F","White","2106-3",128,1785216,7.2,5.9,8.4
,"Alabama","01","2023","2023","Male","M","Black or African American","2054-5",501,633291,79.1,72.2,86.0
,"Alabama","01","2023","2023","Male","M","White","2106-3",553,1734260,31.9,29.2,34.5
,"Alabama","01","2024 ","2024","Female","F","Black or African American","2054-5",67,731884,9.2,7.1,11.6
,"Alabama","01","2024 ","2024","Female","F","White","2106-3",112,1798873,6.2,5.1,7.4
,"Alabama","01","2024 ","2024","Male","M","Black or African American","2054-5",456,636474,71.6,65.1,78.2
,"Alabama","01","2024 ","2024","Male","M","White","2106-3",553,1746664,31.7,29.0,34.3
,"Alaska","02","2018","2018","Female","F","White","2106-3",13,226558,5.7,3.1,9.8
